,sector,rounded_salary_2016,percentage,count
122,Crown Agencies,610000,0.08573255658700098,1
123,Crown Agencies,645000,0.09065163770264857,1
124,Crown Agencies,670000,0.28249580121290485,3
125,Crown Agencies,835000,0.11735522090187839,1
126,Government of Ontario - Judiciary,100000,0.211864406779661,3
127,Government of Ontario - Judiciary,105000,0.5190677966101694,7
128,Government of Ontario - Judiciary,110000,0.4661016949152542,6
129,Government of Ontario - Judiciary,115000,0.7309322033898306,9
130,Government of Ontario - Judiciary,120000,0.7627118644067796,9
131,Government of Ontario - Judiciary,125000,1.5007062146892656,17
132,Government of Ontario - Judiciary,130000,22.860169491525422,249
133,Government of Ontario - Judiciary,135000,1.7161016949152543,18
134,Government of Ontario - Judiciary,140000,0.09887005649717515,1
135,Government of Ontario - Judiciary,145000,0.10240112994350282,1
136,Government of Ontario - Judiciary,150000,0.3177966101694915,3
137,Government of Ontario - Judiciary,160000,0.11299435028248588,1
138,Government of Ontario - Judiciary,165000,0.2330508474576271,2
139,Government of Ontario - Judiciary,175000,0.24717514124293785,2
140,Government of Ontario - Judiciary,180000,0.2542372881355932,2
141,Government of Ontario - Judiciary,185000,0.1306497175141243,1
142,Government of Ontario - Judiciary,200000,0.14124293785310735,1
143,Government of Ontario - Judiciary,215000,1.2146892655367232,8
144,Government of Ontario - Judiciary,225000,1.1122881355932204,7
145,Government of Ontario - Judiciary,230000,0.16242937853107345,1
146,Government of Ontario - Judiciary,235000,0.3319209039548023,2
147,Government of Ontario - Judiciary,240000,0.1694915254237288,1
148,Government of Ontario - Judiciary,245000,0.1730225988700565,1
149,Government of Ontario - Judiciary,255000,0.3601694915254237,2
150,Government of Ontario - Judiciary,260000,0.18361581920903955,1
151,Government of Ontario - Judiciary,265000,0.5614406779661016,3
152,Government of Ontario - Judiciary,270000,0.5720338983050848,3
153,Government of Ontario - Judiciary,275000,0.1942090395480226,1
154,Government of Ontario - Judiciary,280000,0.3954802259887006,2
155,Government of Ontario - Judiciary,285000,0.20127118644067796,1
156,Government of Ontario - Judiciary,290000,54.4774011299435,266
157,Government of Ontario - Judiciary,295000,0.8333333333333334,4
158,Government of Ontario - Judiciary,300000,0.211864406779661,1
159,Government of Ontario - Judiciary,305000,0.2153954802259887,1
160,Government of Ontario - Judiciary,310000,1.9703389830508475,9
161,Government of Ontario - Judiciary,315000,1.1122881355932204,5
162,Government of Ontario - Judiciary,320000,0.4519774011299435,2
163,Government of Ontario - Judiciary,325000,0.22951977401129944,1
164,Government of Ontario - Judiciary,340000,0.2401129943502825,1
165,Government of Ontario - Judiciary,365000,0.5155367231638418,2
166,Government of Ontario - Judiciary,370000,0.2612994350282486,1
167,Government of Ontario - Judiciary,375000,3.4427966101694913,13
168,Government of Ontario - Legislative Assembly and Offices,100000,5.775991963837268,23
169,Government of Ontario - Legislative Assembly and Offices,105000,7.383224510296333,28
170,Government of Ontario - Legislative Assembly and Offices,110000,6.3535911602209945,23
171,Government of Ontario - Legislative Assembly and Offices,115000,11.8407835258664,41
172,Government of Ontario - Legislative Assembly and Offices,120000,3.917629331993973,13
173,Government of Ontario - Legislative Assembly and Offices,125000,5.336514314414867,17
174,Government of Ontario - Legislative Assembly and Offices,130000,4.2440984429934705,13
175,Government of Ontario - Legislative Assembly and Offices,135000,13.221998995479659,39
176,Government of Ontario - Legislative Assembly and Offices,140000,1.7579105976896032,5
177,Government of Ontario - Legislative Assembly and Offices,145000,4.733802109492717,13
178,Government of Ontario - Legislative Assembly and Offices,150000,3.390256152687092,9
179,Government of Ontario - Legislative Assembly and Offices,155000,3.503264691109995,9
180,Government of Ontario - Legislative Assembly and Offices,160000,1.6072325464590658,4
181,Government of Ontario - Legislative Assembly and Offices,165000,8.287292817679559,20
182,Government of Ontario - Legislative Assembly and Offices,170000,0.42692114515318935,1
183,Government of Ontario - Legislative Assembly and Offices,175000,2.6368658965344047,6
184,Government of Ontario - Legislative Assembly and Offices,180000,6.328478151682572,14
185,Government of Ontario - Legislative Assembly and Offices,190000,0.47714716223003517,1
186,Government of Ontario - Legislative Assembly and Offices,195000,1.4691109994977398,3
187,Government of Ontario - Legislative Assembly and Offices,200000,3.0135610246107483,6
188,Government of Ontario - Legislative Assembly and Offices,210000,0.527373179306881,1
189,Government of Ontario - Legislative Assembly and Offices,220000,0.5524861878453039,1
190,Government of Ontario - Legislative Assembly and Offices,230000,0.5775991963837268,1
191,Government of Ontario - Legislative Assembly and Offices,240000,0.6027122049221497,1
192,Government of Ontario - Legislative Assembly and Offices,250000,1.2556504269211453,2
193,Government of Ontario - Legislative Assembly and Offices,310000,0.77850326469111,1
194,Government of Ontario - Ministries,100000,10.532344637779591,2078
195,Government of Ontario - Ministries,105000,14.9546115754421,2810
196,Government of Ontario - Ministries,110000,13.670760325803231,2452
197,Government of Ontario - Ministries,115000,10.789064202699484,1851
198,Government of Ontario - Ministries,120000,7.912943430462703,1301
199,Government of Ontario - Ministries,125000,5.632371500833768,889
200,Government of Ontario - Ministries,130000,4.223581706766955,641
201,Government of Ontario - Ministries,135000,4.687096103843444,685
202,Government of Ontario - Ministries,140000,2.0294277155760096,286
203,Government of Ontario - Ministries,145000,2.7780452819860413,378
204,Government of Ontario - Ministries,150000,1.4141117198943725,186
205,Government of Ontario - Ministries,155000,2.616106681804589,333
206,Government of Ontario - Ministries,160000,1.0055905563693315,124
207,Government of Ontario - Ministries,165000,0.7861244722423555,94
208,Government of Ontario - Ministries,170000,1.3441664090178767,156
209,Government of Ontario - Ministries,175000,0.6208913465486043,70
210,Government of Ontario - Ministries,180000,0.8940835390299903,98
211,Government of Ontario - Ministries,185000,0.5719803139429388,61
212,Government of Ontario - Ministries,190000,0.6837407563216876,71
213,Government of Ontario - Ministries,195000,0.849987582173069,86
214,Government of Ontario - Ministries,200000,1.1758921828512345,116
215,Government of Ontario - Ministries,205000,7.200565644687957,693
216,Government of Ontario - Ministries,210000,0.9792343522709418,92
217,Government of Ontario - Ministries,215000,0.5339665580317998,49
218,Government of Ontario - Ministries,220000,0.32337035028408945,29
219,Government of Ontario - Ministries,225000,0.30791142288022627,27
220,Government of Ontario - Ministries,230000,0.03497265543824792,3
221,Government of Ontario - Ministries,235000,0.0476439074086276,4
222,Government of Ontario - Ministries,240000,0.17030162648190292,14
223,Government of Ontario - Ministries,245000,0.04967130772388835,4
224,Government of Ontario - Ministries,250000,0.05068500788151872,4
225,Government of Ontario - Ministries,255000,0.0516987080391491,4
226,Government of Ontario - Ministries,260000,0.02635620409838974,2
227,Government of Ontario - Ministries,265000,0.08058916253161477,6
228,Government of Ontario - Ministries,270000,0.04105485638403017,3
229,Government of Ontario - Ministries,275000,0.0278767543348353,2
230,Government of Ontario - Ministries,285000,0.014445227246232836,1
231,Government of Ontario - Ministries,290000,0.04409595685692129,3
232,Government of Ontario - Ministries,295000,0.32894570115105654,22
233,Government of Ontario - Ministries,305000,0.015458927403863211,1
234,Government of Ontario - Ministries,310000,0.03142470488654161,2
235,Government of Ontario - Ministries,315000,0.015965777482678398,1
236,Government of Ontario - Ministries,320000,0.01621920252208599,1
237,Government of Ontario - Ministries,325000,0.016472627561493584,1
238,Government of Ontario - Ministries,330000,0.08363026300450589,5
239,Government of Ontario - Ministries,335000,0.016979477640308775,1
240,Government of Ontario - Ministries,340000,0.017232902679716368,1
241,Government of Ontario - Ministries,345000,0.01748632771912396,1
242,Government of Ontario - Ministries,350000,0.017739752758531555,1
243,Government of Ontario - Ministries,360000,0.01824660283734674,1
244,Government of Ontario - Ministries,365000,0.07400011150701734,4
245,Government of Ontario - Ministries,375000,0.01900687795556952,1
246,Government of Ontario - Ministries,415000,0.02103427827083027,1
247,Government of Ontario - Ministries,425000,0.10770564174822729,5
248,Government of Ontario - Ministries,495000,0.02508907890135177,1
249,Hospitals and Boards of Public Health,100000,12.91443305964579,2379
250,Hospitals and Boards of Public Health,105000,19.248693763995387,3377
251,Hospitals and Boards of Public Health,110000,12.916061613625569,2163
252,Hospitals and Boards of Public Health,115000,8.640021714053063,1384
253,Hospitals and Boards of Public Health,120000,6.1754766913211645,948
254,Hospitals and Boards of Public Health,125000,4.3699531790730815,644
255,Hospitals and Boards of Public Health,130000,3.5003053538712083,496
256,Hospitals and Boards of Public Health,135000,2.6748999117866594,365
257,Hospitals and Boards of Public Health,140000,2.135577118816584,281
258,Hospitals and Boards of Public Health,145000,1.59001153559069,202
259,Hospitals and Boards of Public Health,150000,1.506412431295379,185
260,Hospitals and Boards of Public Health,155000,1.6491823301893194,196
261,Hospitals and Boards of Public Health,160000,0.9554183348035556,110
262,Hospitals and Boards of Public Health,165000,0.9046617357671167,101
263,Hospitals and Boards of Public Health,170000,0.8767048924475809,95
264,Hospitals and Boards of Public Health,175000,0.8074913483069824,85
265,Hospitals and Boards of Public Health,180000,0.723077967021782,74
266,Hospitals and Boards of Public Health,185000,0.48205197801452127,48
267,Hospitals and Boards of Public Health,190000,0.5157087602632829,50
268,Hospitals and Boards of Public Health,195000,0.48693763995385764,46
269,Hospitals and Boards of Public Health,200000,0.4668521408699193,43
270,Hospitals and Boards of Public Health,205000,0.3227251136594965,29
271,Hospitals and Boards of Public Health,210000,0.4103956029042546,36
272,Hospitals and Boards of Public Health,215000,0.3851530162176834,33
273,Hospitals and Boards of Public Health,220000,0.4179955214765556,35
274,Hospitals and Boards of Public Health,225000,0.4641378842369546,38
275,Hospitals and Boards of Public Health,230000,0.3620818348374839,29
276,Hospitals and Boards of Public Health,235000,0.2551401234986768,20
277,Hospitals and Boards of Public Health,240000,0.3126823641175273,24
